no,Ex,Ag,Co,Ne,Op
92,1.206342451,-0.983569567,1.409943355,0.324843105,1.070184965
93,0.134380066,-0.203504462,0.496928944,-0.193942495,-0.25461565
94,0.134380066,0.576560644,0.040421739,-0.193942495,-0.519575773
95,0.777557497,0.836582346,0.95343615,-0.453335294,0.805224842
96,-0.294404887,1.096604047,0.496928944,0.065450305,0.805224842
97,0.56316502,0.576560644,1.409943355,-1.750299293,1.070184965
98,1.635127405,1.356625749,1.409943355,-0.453335294,1.070184965
99,0.134380066,-2.023656374,0.268675342,-0.193942495,-0.25461565
100,0.56316502,-0.203504462,-0.187831863,-0.193942495,-0.784535896
101,0.134380066,0.836582346,-0.187831863,-1.750299293,1.070184965
102,-0.508797364,0.836582346,-0.187831863,-0.712728094,0.275304596
103,0.777557497,-0.983569567,1.409943355,0.324843105,0.540264719
104,0.56316502,1.616647451,2.094704162,-0.193942495,2.394985581
105,0.777557497,0.576560644,0.725182547,-0.193942495,0.275304596
106,-0.294404887,0.05651724,-0.416085466,0.065450305,-0.25461565
107,0.134380066,0.05651724,0.725182547,-0.453335294,-1.844376388
108,0.134380066,0.316538942,0.268675342,-0.193942495,-0.25461565
109,-1.366367272,-1.763634672,-0.416085466,0.584235905,0.275304596
110,1.420734928,1.356625749,1.181689752,-2.269084893,0.540264719
111,-0.294404887,0.05651724,0.95343615,-0.972120894,1.070184965
112,-0.508797364,-1.763634672,-0.416085466,0.324843105,-1.579416265
113,0.777557497,2.656734258,0.725182547,2.399985503,-0.25461565
114,0.134380066,0.05651724,-0.644339068,-0.972120894,-0.25461565
115,0.777557497,0.576560644,-0.187831863,-0.712728094,-0.25461565
116,0.56316502,0.576560644,1.181689752,-0.193942495,-0.25461565
117,1.420734928,-0.463526163,1.181689752,1.362414304,1.335145088
118,0.134380066,1.356625749,2.094704162,-1.750299293,0.275304596
119,0.134380066,0.836582346,0.95343615,-2.528477693,0.540264719
120,-0.08001241,-0.203504462,0.496928944,0.065450305,-0.519575773
121,-0.294404887,-0.723547865,-1.329099876,0.065450305,-0.25461565
122,-0.294404887,-0.463526163,0.268675342,-0.193942495,0.010344473
123,0.777557497,0.316538942,0.040421739,0.065450305,1.070184965
124,0.777557497,-0.723547865,-0.644339068,-0.193942495,0.010344473
125,1.206342451,0.576560644,1.409943355,-1.490906494,0.805224842
126,-0.937582318,-0.463526163,0.040421739,-0.193942495,0.540264719
127,-1.151974795,-0.203504462,1.638196957,1.362414304,-0.519575773
